filename,status,instruction_count,unique_instructions,size,reason
pppd.asm,VALID,22818,55,349395,
pppdump.asm,VALID,5008,53,77477,
pppoe-discovery.asm,VALID,1561,42,23729,
pppstats.asm,VALID,1552,34,23464,
printf.asm,VALID,62756,70,944931,
prlimit.asm,VALID,1948,46,29252,
ps.asm,VALID,62756,70,944931,
pwd.asm,VALID,62756,70,944931,
px5g-standalone_6_mipsel_mips32_px5g.asm,VALID,20415,61,307112,
px5g.asm,VALID,952,34,14166,
randicmp6.asm,VALID,5868,51,89796,
ranlib.asm,VALID,7000,48,107814,
readelf.asm,VALID,44425,58,710500,
readlink.asm,VALID,62756,70,944931,
reboot.asm,VALID,62756,70,944931,
redir6.asm,VALID,6399,51,98369,
relayd.asm,VALID,2038,41,31257,
rename.asm,VALID,514,30,7702,
reset.asm,VALID,62756,70,944931,
resize2fs.asm,VALID,10563,60,158671,
resolveip.asm,VALID,323,28,4745,
rm.asm,VALID,62756,70,944931,
rmdir.asm,VALID,62756,70,944931,
rmmod.asm,VALID,2056,41,30323,
route.asm,VALID,62756,70,944931,
rpcd.asm,VALID,4877,47,73045,
rsmurf6.asm,VALID,5859,51,89873,
rssileds.asm,VALID,649,39,9580,
saaldump.asm,VALID,3275,52,54214,
samba_multicall.asm,VALID,263321,71,3946031,
scp.asm,VALID,29448,64,439941,
script.asm,VALID,2286,41,35536,
scriptreplay.asm,VALID,1628,48,24372,
sed.asm,VALID,62756,70,944931,
sendpees6.asm,VALID,5688,51,87236,
sendpeesmp6.asm,VALID,5688,51,87236,
seq.asm,VALID,62756,70,944931,
setterm.asm,VALID,2765,50,42628,
sfdisk.asm,VALID,11060,57,168655,
sh.asm,VALID,62756,70,944931,
sha256sum.asm,VALID,62756,70,944931,
signify.asm,VALID,3557,48,54984,
size.asm,VALID,3466,40,53330,
sleep.asm,VALID,62756,70,944931,
smbclient.asm,VALID,141688,72,2136807,
smbd.asm,VALID,263321,71,3946031,
smbpasswd.asm,VALID,263321,71,3946031,
smurf6.asm,VALID,5856,51,89842,
sockd.asm,VALID,105349,65,1673820,
soloscli.asm,VALID,708,29,10581,
sonetdiag.asm,VALID,500,31,7490,
sort.asm,VALID,62756,70,944931,
spidev_test.asm,VALID,701,38,10778,
ss.asm,VALID,10517,56,161797,
ssh.asm,VALID,29448,64,439941,
start-stop-daemon.asm,VALID,62756,70,944931,
strace.asm,VALID,23614,56,361903,
strings.asm,VALID,62756,70,944931,
strip.asm,VALID,29879,57,457289,
